RA,Dec,Magnitude,Bayer,Full Bayer,English Name,Flamsteed
12.070833333333333,7.3,5.93,-,-,-,62-Psc
12.095833333333333,5.280555555555556,5.75,-,-,-,-
12.208333333333334,50.968333333333334,4.89,ν,ν-Cas,-,25-Cas
12.170833333333333,7.585,4.43,δ,δ-Psc,-,63-Psc
12.241666666666665,16.940555555555555,5.07,-,-,-,64-Psc
12.450000000000001,41.07888888888889,4.53,ν,ν-And,-,35-And
12.354166666666666,-13.561388888888889,5.59,-,-,-,-
12.304166666666665,-24.136388888888888,5.9,-,-,-,-
12.233333333333333,-46.69777777777777,6.27,-,-,-,-
12.466666666666667,27.710833333333333,7.0,-,-,-,65-Psc
12.470833333333333,27.710277777777776,7.1,-,-,-,65-Psc
12.387500000000001,-23.361666666666668,6.28,-,-,-,-
12.679166666666667,64.2475,5.39,-,-,-,-
12.575,45.00222222222222,6.15,-,-,-,-
12.529166666666667,-10.644444444444444,5.19,φ²,φ²-Cet,-,19-Cet
12.145833333333334,-74.92333333333333,5.07,λ,λ-Hyi,-,-
12.816666666666666,61.80583333333333,6.07,-,-,-,-
12.7375,51.50805555555556,6.39,-,-,-,-
12.5125,-43.39472222222222,6.48,-,-,-,-
13.720833333333333,83.70722222222223,5.62,-,-,-,-
12.8875,51.571111111111115,6.21,-,-,-,-
12.670833333333334,-50.98694444444445,5.22,ρ,ρ-Phe,-,-
12.825,3.385,6.37,-,-,-,-
13.266666666666666,61.12416666666667,4.82,-,-,-,-
12.966666666666667,-43.70916666666667,6.9,-,-,-,-
13.220833333333333,38.54861111111111,6.69,-,-,-,-
13.166666666666666,-24.00583333333333,5.46,-,-,-,-
13.25,-1.1441666666666666,4.77,-,-,-,20-Cet
13.366666666666667,37.418055555555554,6.06,-,-,-,-
13.445833333333333,52.689166666666665,6.27,-,-,-,-
13.299999999999999,-24.776944444444442,6.46,-,-,-,-
13.100000000000001,-69.50444444444445,6.22,λ¹,λ¹-Tuc,-,-
13.749999999999998,58.97277777777778,4.83,υ¹,υ¹-Cas,-,26-Cas
13.645833333333334,19.188333333333333,5.74,-,-,-,66-Psc
13.570833333333333,-8.740833333333333,6.16,-,-,-,21-Cet
13.770833333333334,48.67861111111111,6.27,-,-,-,-
13.404166666666669,-62.87138888888889,5.7,-,-,-,-
13.741666666666665,23.628333333333334,5.47,-,-,-,36-And
13.808333333333334,24.556944444444444,6.2,-,-,-,-
14.05,57.99666666666667,6.21,-,-,-,-
14.229166666666666,68.7761111111111,6.37,-,-,-,-
13.991666666666665,27.209444444444443,6.09,-,-,-,67-Psc
13.925,-7.347222222222222,5.85,-,-,-,-
14.175,60.71666666666667,2.47,γ,γ-Cas,Cih,27-Cas
14.162500000000001,59.18111111111111,4.63,υ²,υ²-Cas,-,28-Cas
14.195833333333335,60.36277777777778,5.55,-,-,-,-
14.004166666666666,-11.266666666666667,5.31,φ³,φ³-Cet,-,22-Cet
13.979166666666666,-27.775555555555556,6.1,-,-,-,-
14.1875,38.49944444444444,3.87,μ,μ-And,-,37-And
13.749999999999998,-69.52694444444444,5.45,λ²,λ²-Tuc,-,-
14.299999999999999,23.4175,4.42,η,η-And,-,38-And
14.4125,45.83972222222222,6.12,-,-,-,-
14.629166666666666,66.35222222222221,5.97,-,-,-,-
14.45833333333333,28.992222222222225,5.42,-,-,-,68-Psc
14.558333333333334,33.950833333333335,5.98,-,-,-,-
14.475,13.695833333333333,6.32,-,-,-,-
14.575,21.404444444444444,6.37,-,-,-,-
15.129166666666668,70.98305555555555,6.39,-,-,-,-
14.679166666666667,-11.38,5.61,φ,φ-Cet,-,23-Cet
14.649999999999999,-29.3575,4.31,α,α-Scl,-,-
14.591666666666667,-60.69638888888888,6.23,-,-,-,-
15.0125,44.711111111111116,6.84,-,-,-,-
15.0125,44.71333333333334,6.04,-,-,-,-
14.954166666666666,6.483055555555556,6.11,-,-,-,-
17.183333333333334,86.25694444444444,4.25,-,-,-,-
23.458333333333332,89.01555555555555,6.46,-,-,-,-
15.575,51.035,6.47,-,-,-,-
15.324999999999998,-38.916666666666664,5.59,ξ,ξ-Scl,-,-
15.754166666666668,47.376111111111115,6.45,-,-,-,-
15.725,41.345,5.98,-,-,-,39-And
15.704166666666667,31.804444444444446,5.5,σ,σ-Psc,-,69-Psc
15.904166666666669,61.075,5.92,-,-,-,-
15.608333333333336,-31.551944444444445,5.5,σ,σ-Scl,-,-
15.733333333333336,7.89,4.28,ε,ε-Psc,-,71-Psc
15.504166666666668,-57.0025,6.11,ω,ω-Phe,-,-
15.758333333333335,-4.836666666666666,5.43,-,-,-,25-Cet
16.079166666666666,61.58027777777778,5.84,-,-,-,-
16.008333333333333,52.50222222222222,5.99,-,-,-,-
15.704166666666667,-46.3975,5.36,-,-,-,-
15.820833333333335,-29.52583333333333,6.29,-,-,-,-
15.954166666666667,1.3666666666666667,6.04,-,-,-,26-Cet
16.191666666666666,51.01,6.54,-,-,-,-
16.1125,29.65861111111111,6.19,-,-,-,-
15.675000000000002,-65.45611111111111,6.21,-,-,-,-
16.15,39.99111111111111,6.72,-,-,-,-
